date,open,high,low,close,volume
2023-10-30 02:30:00,350.0,350.0,315.0,315.0,6459.0
2023-10-31 02:30:00,308.7,308.7,283.5,283.5,11557.0
2023-11-01 02:30:00,277.9,277.9,255.2,255.2,25109.0
2023-11-02 02:30:00,250.1,250.1,230.0,234.8,616775.0
2023-11-03 02:30:00,230.2,244.0,230.2,244.0,189303.0
2023-11-06 02:30:00,244.0,244.0,230.0,237.0,119248.0
2023-11-07 02:30:00,232.3,255.0,232.3,244.1,231101.0
2023-11-08 02:30:00,248.4,260.0,244.0,257.0,232895.0
2023-11-09 02:30:00,258.0,275.4,252.2,273.0,210017.0
2023-11-10 02:30:00,273.0,273.0,258.9,259.0,290692.0
2023-11-21 02:30:00,253.9,268.0,253.9,263.9,224086.0
2023-11-22 02:30:00,259.0,265.6,255.5,260.5,167730.0
2023-11-23 02:30:00,260.0,285.0,257.4,283.0,392703.0
2023-11-24 02:30:00,279.0,294.2,274.0,287.9,332905.0
2023-11-27 02:30:00,287.9,299.0,280.0,293.3,402121.0
2023-11-28 02:30:00,290.0,298.0,285.1,288.0,268335.0
2023-11-29 02:30:00,288.0,306.0,285.1,301.2,283941.0
2023-11-30 02:30:00,301.2,312.1,295.1,295.5,257788.0
2023-12-01 02:30:00,295.0,302.5,291.1,293.0,270044.0
2023-12-04 02:30:00,297.0,300.0,288.0,295.0,236788.0
2023-12-05 02:30:00,293.0,304.5,290.3,300.2,248193.0
2023-12-06 02:30:00,302.0,305.0,292.5,293.5,182682.0
2023-12-07 02:30:00,287.7,296.1,287.7,291.0,106939.0
2023-12-08 02:30:00,288.1,304.0,288.1,297.0,310907.0
2023-12-11 02:30:00,302.9,320.0,302.9,318.0,113600.0
2023-12-12 02:30:00,320.0,339.9,310.0,328.0,784650.0
2023-12-13 02:30:00,328.0,360.8,328.0,360.8,429827.0
2023-12-14 02:30:00,368.0,381.9,353.0,359.0,398398.0
2023-12-15 02:30:00,359.0,373.3,347.0,361.8,444033.0
2023-12-18 02:30:00,354.6,386.0,348.0,383.0,449066.0
2023-12-19 02:29:00,390.6,407.0,377.2,394.0,521417.0
2023-12-20 02:30:00,390.0,433.4,390.0,433.4,398818.0
2023-12-21 02:30:00,440.0,476.7,440.0,476.7,431356.0
2023-12-22 02:30:00,486.2,493.1,451.4,461.0,539018.0
2023-12-25 02:30:00,470.2,479.0,430.0,433.0,618652.0
2023-12-28 02:30:00,435.0,450.0,399.0,415.1,467990.0
2023-12-29 02:30:00,415.1,455.9,409.0,454.1,328829.0
2024-01-02 02:30:00,463.1,470.0,443.0,456.0,437027.0
2024-01-03 02:30:00,456.0,458.0,437.1,439.0,288959.0
2024-01-04 02:30:00,439.0,482.9,438.0,482.9,570717.0
2024-01-05 02:30:00,492.0,529.5,490.0,508.0,653648.0
2024-01-08 02:30:00,518.1,518.1,496.0,498.8,557159.0
2024-01-09 02:29:56,496.1,519.0,496.0,506.0,429578.0
2024-01-10 02:29:57,507.0,516.3,490.1,493.0,427624.0
2024-01-11 02:29:58,502.0,530.0,496.0,527.0,634593.0
2024-01-12 02:29:59,527.3,540.0,523.0,527.0,315907.0
2024-01-15 02:29:59,527.0,545.0,522.3,539.0,451820.0
2024-01-17 02:29:59,545.0,575.0,536.0,554.0,506592.0
2024-01-18 02:29:58,555.0,565.0,529.2,532.0,548790.0
2024-01-19 02:29:59,521.4,521.4,485.0,506.8,597489.0
2024-01-22 02:29:58,507.0,507.7,480.0,482.0,402920.0
2024-01-23 02:29:59,473.0,493.0,465.0,466.0,278908.0
2024-01-24 02:29:35,457.0,494.7,457.0,485.0,214001.0
2024-01-25 02:29:54,478.0,498.0,469.1,469.2,171707.0
2024-01-26 02:29:58,460.0,480.0,460.0,468.9,147646.0
2024-01-29 02:29:51,468.0,498.0,461.0,483.0,163270.0
2024-01-30 02:29:58,483.0,494.0,479.1,480.0,172313.0
2024-01-31 02:29:59,480.0,494.0,475.1,483.1,189909.0
2024-02-01 02:29:59,485.0,489.5,467.8,472.0,141737.0
2024-02-02 02:29:56,472.0,473.0,460.8,462.5,163831.0
2024-02-05 02:29:59,462.0,467.9,453.6,456.0,153335.0
2024-02-06 02:29:58,460.0,466.0,455.9,458.0,100414.0
2024-02-07 02:29:58,458.0,474.3,457.0,472.3,115612.0
2024-02-08 02:29:52,472.3,485.0,471.0,478.0,122278.0
2024-02-09 02:29:57,478.0,482.5,471.4,475.0,100767.0
2024-02-12 02:29:52,467.2,482.0,464.0,465.0,133334.0
2024-02-13 02:29:59,455.7,465.0,448.9,456.5,224063.0
2024-02-14 02:29:57,456.5,460.0,438.6,440.2,267921.0
2024-02-15 02:29:58,436.0,449.5,434.0,442.0,115190.0
2024-02-16 02:29:58,442.0,455.0,436.7,442.0,126919.0
2024-02-19 02:29:57,440.0,442.0,427.0,427.1,133937.0
2024-02-21 02:29:59,420.0,437.5,420.0,430.2,105552.0
2024-02-22 02:29:58,430.0,438.0,424.0,424.1,65581.0
2024-02-23 02:29:57,432.5,432.9,416.5,418.5,117543.0
2024-02-26 02:29:58,422.0,424.8,407.0,408.0,109305.0
2024-02-27 02:29:51,408.0,440.0,406.1,438.0,228016.0
2024-02-28 02:29:58,446.7,463.0,439.0,451.5,313295.0
