Date,Open,High,Low,Close,Volume
2025-11-26,1271.63,1301.0,1251.16,1256.08,75206
2025-11-27,1261.47,1285.59,1244.84,1252.27,78365
2025-11-28,1258.26,1273.36,1234.36,1258.99,50466
2025-12-01,1256.26,1272.4,1243.26,1264.25,53361
2025-12-02,1237.49,1247.63,1231.8,1240.84,26802
2025-12-03,1231.7,1244.33,1211.26,1244.1,69542
2025-12-04,1261.61,1288.08,1223.51,1250.45,57491
2025-12-05,1293.28,1321.12,1293.24,1308.36,63075
2025-12-08,1341.38,1359.08,1322.02,1353.87,35081
2025-12-09,1351.76,1384.91,1303.39,1334.43,51475
2025-12-10,1314.43,1355.13,1290.46,1328.86,40713
2025-12-11,1301.53,1305.17,1289.76,1295.18,71363
2025-12-12,1270.25,1296.28,1256.03,1282.7,23274
2025-12-15,1298.48,1319.67,1291.01,1291.27,42557
2025-12-16,1340.38,1357.69,1290.72,1320.59,56254
2025-12-17,1323.24,1333.77,1287.01,1304.58,59588
2025-12-18,1287.61,1292.18,1277.06,1290.52,62231
2025-12-19,1252.64,1278.7,1236.38,1241.93,31500
2025-12-22,1236.44,1249.5,1228.68,1239.54,58583
2025-12-23,1216.76,1244.25,1190.72,1217.08,65104
2025-12-24,1220.42,1223.35,1181.16,1206.7,28089
2025-12-25,1173.44,1190.43,1144.12,1188.86,45038
2025-12-26,1185.76,1211.04,1157.15,1188.03,30356
2025-12-29,1162.79,1167.67,1127.07,1151.63,53919
2025-12-30,1134.52,1157.87,1109.43,1122.37,39109
2025-12-31,1152.26,1178.01,1144.71,1166.51,66439
2026-01-01,1132.34,1162.09,1118.3,1140.64,45409
2026-01-02,1118.07,1129.55,1096.24,1119.26,61269
2026-01-05,1147.26,1179.13,1121.99,1157.39,61979
2026-01-06,1207.23,1224.41,1201.89,1219.07,11448
2026-01-07,1190.94,1224.16,1165.25,1194.58,79080
2026-01-08,1186.03,1199.53,1182.33,1187.86,54015
2026-01-09,1213.42,1239.9,1172.19,1196.35,51286
2026-01-12,1240.55,1249.52,1226.58,1234.77,21559
2026-01-13,1216.49,1233.24,1208.87,1214.07,32827
2026-01-14,1192.74,1211.42,1180.86,1209.92,58289
2026-01-15,1227.55,1236.05,1209.71,1228.06,24392
2026-01-16,1251.04,1268.59,1219.86,1238.9,61843
2026-01-19,1223.28,1247.82,1202.32,1231.75,38784
2026-01-20,1236.53,1238.57,1199.29,1230.01,47307
2026-01-21,1190.44,1227.65,1179.91,1200.8,63362
2026-01-22,1210.86,1225.09,1181.17,1196.85,17897
2026-01-23,1207.89,1209.69,1168.92,1192.31,40558
2026-01-26,1187.54,1218.85,1164.21,1198.49,48932
2026-01-27,1173.43,1193.86,1156.5,1187.71,44108
2026-01-28,1185.84,1224.77,1165.69,1198.98,18210
2026-01-29,1216.94,1223.73,1197.39,1222.04,30669
2026-01-30,1230.75,1237.07,1223.26,1226.68,24860
2026-02-02,1251.6,1254.72,1208.1,1235.67,8814
2026-02-03,1242.53,1246.32,1233.52,1238.09,13649
2026-02-04,1248.78,1274.37,1224.65,1239.33,15742
2026-02-05,1207.73,1236.75,1187.32,1224.47,79750
2026-02-06,1249.26,1267.28,1226.7,1232.67,74370
2026-02-09,1249.43,1265.01,1216.15,1231.74,17775
2026-02-10,1297.45,1309.8,1260.11,1279.38,64610
2026-02-11,1302.2,1327.46,1275.93,1316.89,48856
2026-02-12,1311.55,1356.09,1298.08,1327.35,48305
2026-02-13,1306.86,1324.59,1294.87,1310.45,31900
2026-02-16,1301.98,1332.34,1265.96,1285.52,62970
2026-02-17,1312.44,1333.03,1294.78,1314.37,29694
2026-02-18,1328.2,1346.61,1299.45,1321.9,77767
2026-02-19,1329.79,1337.81,1302.07,1334.65,30929
2026-02-20,1302.73,1315.4,1268.66,1294.07,63537
2026-02-23,1327.07,1335.61,1311.27,1316.97,47200
2026-02-24,1346.11,1366.21,1318.06,1329.06,79425
2026-02-25,1321.25,1334.21,1301.34,1303.82,8943
2026-02-26,1297.13,1297.28,1262.96,1294.06,75177
2026-02-27,1303.95,1304.81,1293.15,1301.5,56031
2026-03-02,1317.81,1334.16,1286.61,1304.03,38913
2026-03-03,1309.65,1320.48,1294.54,1298.48,5410
2026-03-04,1292.42,1315.69,1268.84,1297.36,55403
2026-03-05,1303.43,1319.61,1277.79,1292.77,17044
2026-03-06,1315.73,1347.43,1292.93,1297.61,68863
2026-03-09,1337.05,1366.4,1312.43,1333.28,19070
2026-03-10,1257.79,1298.83,1241.49,1273.02,23334
2026-03-11,1287.22,1306.76,1250.63,1268.87,47329
2026-03-12,1269.2,1287.47,1241.23,1274.17,71090
2026-03-13,1295.22,1304.43,1259.91,1282.23,64606
2026-03-16,1289.25,1290.02,1259.65,1274.93,42985
2026-03-17,1242.94,1248.02,1225.64,1235.89,39775
