Date,Open,High,Low,Close,Volume
2025-01-22,1197.01,1206.98,1178.08,1200.0,42879
2025-01-23,1201.53,1219.24,1192.09,1207.78,32479
2025-01-24,1179.15,1214.52,1176.68,1186.38,69064
2025-01-27,1197.39,1219.7,1192.86,1203.59,41068
2025-01-28,1230.78,1255.53,1210.86,1225.17,62471
2025-01-29,1175.85,1205.11,1152.4,1183.37,52468
2025-01-30,1163.58,1188.62,1131.72,1156.82,76438
2025-01-31,1146.54,1181.7,1120.3,1160.64,51078
2025-02-03,1170.3,1174.32,1154.0,1155.19,17704
2025-02-04,1159.25,1181.93,1150.08,1156.0,65066
2025-02-05,1154.66,1161.97,1127.73,1139.41,8760
2025-02-06,1162.63,1167.61,1145.99,1158.59,12128
2025-02-07,1178.53,1192.26,1161.94,1175.97,59581
2025-02-10,1189.12,1203.75,1166.74,1178.54,62294
2025-02-11,1219.2,1222.85,1177.06,1203.63,59091
2025-02-12,1220.71,1233.48,1208.11,1214.96,11578
2025-02-13,1203.53,1213.57,1194.34,1197.38,66283
2025-02-14,1198.22,1217.52,1177.68,1206.53,62189
2025-02-17,1174.72,1191.3,1172.84,1186.91,46625
2025-02-18,1202.64,1228.88,1189.2,1206.86,37842
2025-02-19,1222.77,1246.62,1191.27,1206.98,15494
2025-02-20,1221.75,1243.67,1202.7,1204.17,33226
2025-02-21,1176.98,1215.93,1166.3,1190.61,14205
2025-02-24,1221.22,1242.17,1187.92,1218.0,14144
2025-02-25,1214.16,1240.92,1192.77,1215.83,77623
2025-02-26,1205.58,1216.79,1203.12,1207.67,39391
2025-02-27,1211.36,1214.71,1201.13,1201.22,8312
2025-02-28,1206.06,1239.33,1179.12,1213.93,70940
2025-03-03,1241.44,1262.1,1212.43,1223.13,51748
2025-03-04,1248.13,1249.03,1210.03,1233.44,11783
2025-03-05,1230.92,1268.4,1206.25,1244.24,6092
2025-03-06,1299.51,1300.68,1261.29,1293.45,73297
2025-03-07,1267.99,1304.75,1261.7,1285.28,77239
2025-03-10,1288.07,1289.91,1268.37,1274.71,22891
2025-03-11,1273.45,1298.03,1247.82,1257.31,66484
2025-03-12,1254.96,1278.93,1227.51,1272.51,67848
2025-03-13,1299.82,1324.04,1287.62,1299.64,11451
2025-03-14,1284.84,1322.11,1258.92,1298.27,68834
2025-03-17,1271.13,1302.65,1270.5,1279.93,61206
2025-03-18,1245.34,1281.66,1215.53,1262.21,50865
2025-03-19,1292.98,1315.92,1251.83,1278.25,32836
2025-03-20,1284.32,1328.4,1266.94,1296.63,11879
2025-03-21,1321.77,1342.8,1296.59,1310.6,38490
2025-03-24,1313.55,1323.45,1282.54,1296.21,15884
2025-03-25,1310.73,1332.0,1300.98,1302.92,16844
2025-03-26,1307.29,1320.49,1289.78,1306.96,16132
2025-03-27,1298.41,1317.81,1274.98,1313.41,12005
2025-03-28,1332.44,1355.73,1320.27,1335.33,27852
2025-03-31,1338.49,1355.76,1312.31,1342.04,76185
2025-04-01,1352.32,1361.01,1332.66,1359.78,49122
2025-04-02,1361.73,1370.48,1347.18,1362.79,31315
2025-04-03,1379.55,1401.9,1359.33,1371.24,47432
2025-04-04,1380.54,1415.52,1364.98,1388.19,19772
2025-04-07,1358.29,1370.54,1336.69,1353.17,37356
2025-04-08,1356.3,1386.36,1344.08,1346.74,68766
2025-04-09,1337.49,1364.24,1313.77,1336.68,42772
2025-04-10,1336.04,1352.54,1293.41,1322.65,9196
2025-04-11,1330.94,1332.79,1293.73,1317.42,10404
2025-04-14,1347.45,1360.05,1324.34,1354.19,9990
2025-04-15,1315.01,1362.04,1310.29,1334.44,60701
2025-04-16,1353.82,1364.25,1340.31,1359.03,55134
2025-04-17,1313.87,1350.83,1313.72,1319.22,13975
2025-04-18,1323.3,1333.59,1302.34,1312.59,15804
2025-04-21,1313.32,1338.86,1280.84,1317.75,57905
2025-04-22,1321.34,1350.47,1293.72,1332.97,58362
2025-04-23,1365.0,1398.75,1336.37,1351.37,17443
2025-04-24,1385.98,1420.29,1342.58,1372.02,42717
2025-04-25,1360.38,1367.51,1352.06,1364.78,38618
2025-04-28,1352.1,1370.69,1323.39,1354.79,27975
2025-04-29,1393.89,1395.45,1350.66,1377.07,18569
2025-04-30,1365.14,1390.54,1351.03,1373.71,59243
2025-05-01,1326.78,1351.72,1321.59,1343.54,41996
2025-05-02,1322.92,1344.39,1306.62,1317.48,64583
2025-05-05,1279.8,1308.88,1265.07,1296.99,62217
2025-05-06,1303.54,1337.54,1286.68,1309.89,44851
2025-05-07,1328.44,1345.2,1311.59,1314.56,62647
2025-05-08,1335.69,1364.08,1310.25,1332.21,48718
2025-05-09,1324.55,1328.03,1303.4,1323.3,42411
2025-05-12,1345.03,1366.24,1301.08,1328.4,5641
2025-05-13,1332.25,1345.52,1329.83,1344.69,30414
